,directory,usage
0,C:\Users\Kanupriya\Desktop\AI,17583
1,C:\Users\Kanupriya\Desktop\anniverseries 2020,9026584
2,C:\Users\Kanupriya\Desktop\College reviews,797937
3,C:\Users\Kanupriya\Desktop\D,517932
4,C:\Users\Kanupriya\Desktop\guessing game,532
5,C:\Users\Kanupriya\Desktop\Javascript,396
6,C:\Users\Kanupriya\Desktop\Lectures,1290474233
7,C:\Users\Kanupriya\Desktop\personal,71040
8,C:\Users\Kanupriya\Desktop\recording,43908713
9,C:\Users\Kanupriya\Desktop\sqlite-tools-win32-x86-3310100,514048
10,C:\Users\Kanupriya\Desktop\temp,
11,C:\Users\Kanupriya\Desktop\test folder,1014
12,C:\Users\Kanupriya\Desktop\web dev,245
13,C:\Users\Kanupriya\Desktop\web pages,153
